Name:;Data 6/10/2024 15_08_28
Owner:;Hella
Comments:; 
Acquisition Date:;6/3/2024 10:26:00 AM
Scan List:;Scan List A
Instrument:;34980A;Address:;USB0::2391::1287::MY56482360::0::INSTR;Modules:;2;Slot9:;Computed;Slot1:;34925A
Total Channels:;13
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Limit Type;Limit Setting;
1001;temp ref;Temp 4-Wire RTD;None;C;Temp 4-Wire RTD#1#0.016#Auto#0.001#C#0.00385 (DIN)#100#True;False;1;0;C; ;
1002;TEMP AMB;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1004;G In Sol;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1005;G IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1006;G C H;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1007;D Coil P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1008;D IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1009;D Coil S;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1013;G Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1014;D Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1017;V 1;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
1040;SHUNT4;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
9004;TOK4_1ohm;Ch1040 / 1;;;;False;1;0;ADC; ;

Limit Type;Integer Symbol
None;0
Below;1
Above;2
Out of Limits;3
In Limits;4
Stabilize;5
Bitwise equal;6
Bitwise not equal;7
Numeric equal;8
Numeric not equal;9
Totalizer;11
Destabilize;12

Scan  Control:;Start Action:;Immediately;Stop Action:;User Terminated
Scan Order:1001 1002 1004 1005 1006 1007 1008 1009 1013 1014 1017 1040 
Scan;Time;1001 <temp ref> (C);Limit 1001;1002 <TEMP AMB> (C);Limit 1002;1004 <G In Sol> (C);Limit 1004;1005 <G IN P> (C);Limit 1005;1006 <G C H> (C);Limit 1006;1007 <D Coil P> (C);Limit 1007;1008 <D IN P> (C);Limit 1008;1009 <D Coil S> (C);Limit 1009;1013 <G Box> (C);Limit 1013;1014 <D Box> (C);Limit 1014;1017 <V 1> (VDC);Limit 1017;1040 <SHUNT4> (VDC);Limit 1040;9004 <TOK4_1ohm> (ADC);Limit 9004
1;10.6.2024 15:08:32:973;26.124;0;42.065;0;61.829;0;67.029;0;82.211;0;81.96;0;67.065;0;72.104;0;47.74;0;44.539;0;12.958429;0;1.18977765;0;1.18977765;0
2;10.6.2024 15:08:33:907;26.124;0;41.956;0;62.044;0;67.37;0;82.247;0;82.067;0;67.19;0;72.588;0;47.759;0;44.557;0;12.958596;0;1.19125052;0;1.19125052;0
3;10.6.2024 15:08:34:907;26.122;0;42.355;0;62.167;0;67.475;0;82.495;0;82.46;0;67.422;0;72.855;0;47.757;0;44.646;0;12.958847;0;1.18937558;0;1.18937558;0
4;10.6.2024 15:08:35:907;26.128;0;42.397;0;62.371;0;67.714;0;82.806;0;82.716;0;67.589;0;73.112;0;47.781;0;44.761;0;12.95868;0;1.19255955;0;1.19255955;0
5;10.6.2024 15:08:36:907;26.124;0;43.175;0;62.564;0;67.89;0;83.178;0;83.017;0;67.782;0;73.269;0;47.886;0;44.812;0;12.95868;0;1.19104154;0;1.19104154;0
6;10.6.2024 15:08:37:907;26.13;0;43.563;0;62.803;0;68.039;0;83.417;0;83.274;0;67.967;0;73.562;0;47.91;0;44.873;0;12.958512;0;1.19197191;0;1.19197191;0
7;10.6.2024 15:08:38:907;26.126;0;44.014;0;62.978;0;68.232;0;83.7;0;83.539;0;68.071;0;73.683;0;47.996;0;44.978;0;12.958847;0;1.19097551;0;1.19097551;0
8;10.6.2024 15:08:39:907;26.126;0;43.832;0;63.158;0;68.376;0;84.023;0;83.754;0;68.358;0;73.988;0;47.996;0;44.941;0;12.958596;0;1.18976009;0;1.18976009;0
9;10.6.2024 15:08:40:907;26.126;0;43.614;0;63.355;0;68.609;0;84.345;0;83.987;0;68.465;0;74.203;0;48.086;0;45.123;0;12.95868;0;1.19332859;0;1.19332859;0
10;10.6.2024 15:08:41:907;26.126;0;44.014;0;63.516;0;68.788;0;84.614;0;84.166;0;68.627;0;74.4;0;48.158;0;45.251;0;12.958596;0;1.19256457;0;1.19256457;0
11;10.6.2024 15:08:42:907;26.124;0;44.03;0;63.622;0;68.93;0;84.737;0;84.415;0;68.786;0;74.595;0;48.174;0;45.249;0;12.958931;0;1.19013375;0;1.19013375;0
12;10.6.2024 15:08:43:907;26.124;0;43.775;0;63.837;0;69.181;0;84.988;0;84.612;0;68.984;0;74.756;0;48.246;0;45.394;0;12.95868;0;1.19007523;0;1.19007523;0
13;10.6.2024 15:08:44:907;26.126;0;43.468;0;63.982;0;69.308;0;85.223;0;84.811;0;69.129;0;74.991;0;48.338;0;45.505;0;12.958763;0;1.19284794;0;1.19284794;0
14;10.6.2024 15:08:45:907;26.128;0;43.543;0;64.128;0;69.525;0;85.44;0;85.118;0;69.256;0;75.119;0;48.394;0;45.58;0;12.958512;0;1.19333527;0;1.19333527;0
15;10.6.2024 15:08:46:907;26.128;0;43.634;0;64.271;0;69.705;0;85.619;0;85.279;0;69.418;0;75.316;0;48.43;0;45.653;0;12.958596;0;1.19226782;0;1.19226782;0
